ticket_id,customer_id,category,priority,created_at,resolved_at,resolution_hours,satisfaction_score,agent_name,channel,description
TKT-00086,CUST-129,Performance,Low,2024-02-26T23:14:13Z,2024-02-27T15:14:13Z,16.0,7.0,Ryan Munoz,chat,Organization station TV keep light.
TKT-00087,CUST-477,Security,Low,2024-02-13T19:51:50Z,2024-02-16T00:51:50Z,53.0,6.0,Daniel Wagner,portal,Support request: Record wall matter management ball.
TKT-00088,CUST-222,Performance,High,2024-02-16T01:26:16Z,2024-02-17T16:26:16Z,39.0,10.0,Ryan Munoz,chat,Support request: Threat same page.
TKT-00089,CUST-390,Account,Medium,2024-02-09T02:29:07Z,2024-02-09T06:29:07Z,4.0,10.0,Noah Rhodes,portal,Support request: Before while structure.
TKT-00090,CUST-466,Integration,Medium,2024-02-27T18:30:57Z,2024-02-28T06:30:57Z,12.0,3.0,Daniel Wagner,portal,Onto again share start office several compare.
TKT-00091,CUST-313,Integration,Low,2024-02-24T14:51:03Z,,,,Lisa Hensley,email,Prepare trouble consider one play man before.
TKT-00092,CUST-049,Billing,Medium,2024-02-10T21:03:40Z,2024-02-12T20:03:40Z,47.0,3.0,Allison Hill,email,Impact fly bit claim in many.
TKT-00093,CUST-280,Technical,Low,2024-02-06T04:13:35Z,,,,Gina Moore,email,Spend nearly lawyer fire follow wife.
TKT-00094,CUST-049,Feature Request,Medium,2024-02-08T09:44:26Z,2024-02-09T07:44:26Z,22.0,3.0,Monica Herrera,portal,Ten stay ability thank left approach.
TKT-00095,CUST-270,Technical,High,2024-02-24T21:33:04Z,,,,Lisa Hensley,chat,Gun series personal service data near until.
TKT-00096,CUST-209,Security,Medium,2024-02-02T05:27:11Z,2024-02-02T11:27:11Z,6.0,7.0,Gina Moore,email,Support request: Thing machine ahead picture son report.
TKT-00097,CUST-001,Technical,High,2024-02-19T17:41:36Z,2024-02-22T03:41:36Z,58.0,5.0,Gina Moore,phone,Nearly need behavior yeah tree.
TKT-00098,CUST-283,Security,Medium,2024-02-28T07:48:47Z,,,,Cristian Santos,email,Water positive child usually factor relate indeed.
TKT-00099,CUST-393,Integration,Medium,2024-02-27T16:16:39Z,2024-02-28T19:16:39Z,27.0,8.0,Dylan Miller,chat,Woman during necessary himself two meet these.
TKT-00100,CUST-068,Billing,Medium,2024-02-23T08:42:17Z,2024-02-23T23:42:17Z,15.0,4.0,Jamie Arnold,email,User reported issue with Everybody so increase various.. Please contact lori44@example.net or 001-872-978-7558 for follow-up.
TKT-00101,CUST-479,Account,Critical,2024-02-26T03:35:45Z,2024-02-28T18:35:45Z,63.0,5.0,Ryan Munoz,chat,Thank wonder draw him task improve.
TKT-00102,CUST-358,Account,Low,2024-02-01T17:26:25Z,2024-02-03T10:26:25Z,41.0,1.0,Jamie Arnold,phone,Seat relate specific history professional star.
TKT-00103,CUST-015,Security,Low,2024-02-03T14:47:13Z,2024-02-06T05:47:13Z,63.0,2.0,Monica Herrera,portal,Manager already maybe opportunity.
TKT-00104,CUST-456,Account,Medium,2024-02-20T06:14:52Z,2024-02-22T11:14:52Z,53.0,3.0,Dylan Miller,chat,Them key moment lead.
TKT-00105,CUST-289,Integration,Medium,2024-02-13T03:25:17Z,2024-02-15T17:25:17Z,62.0,7.0,Dylan Miller,phone,Improve pressure child light.
TKT-00106,CUST-388,Account,Low,2024-02-22T07:02:26Z,,,,Allison Hill,phone,Support request: Full realize power system system.
TKT-00107,CUST-058,Technical,High,2024-02-16T05:21:48Z,2024-02-17T01:21:48Z,20.0,,Angie Henderson,portal,Here first responsibility service their along attention.
TKT-00108,CUST-331,Technical,Low,2024-02-13T02:26:53Z,2024-02-14T20:26:53Z,42.0,3.0,Connie Lawrence,email,Support request: Range explain dinner bed within set region beyond.
TKT-00109,CUST-101,Security,Medium,2024-02-25T19:05:53Z,2024-02-26T02:05:53Z,7.0,8.0,Gina Moore,chat,Really tough animal someone.
TKT-00110,CUST-159,Feature Request,Low,2024-02-22T15:44:36Z,2024-02-23T09:44:36Z,18.0,9.0,Ryan Munoz,chat,Support request: Grow issue each include radio.
TKT-00111,CUST-258,Technical,Medium,2024-02-17T15:04:44Z,2024-02-19T22:04:44Z,55.0,,Michele Williams,email,Color bad that people.
TKT-00112,CUST-168,Performance,Medium,2024-02-02T06:21:02Z,2024-02-04T10:21:02Z,52.0,,Gabrielle Davis,email,Marriage on discussion point least.
TKT-00113,CUST-311,Feature Request,Low,2024-02-01T06:40:05Z,2024-02-01T20:40:05Z,14.0,7.0,Ryan Munoz,phone,User reported issue with Together let explain.. Please contact charleslandry@example.net or 664-674-3671x3695 for follow-up.
TKT-00114,CUST-079,Integration,Low,2024-02-07T08:35:25Z,2024-02-08T01:35:25Z,17.0,3.0,Ryan Munoz,chat,Within probably ever.
TKT-00115,CUST-384,Performance,Low,2024-02-01T13:18:49Z,2024-02-01T23:18:49Z,10.0,8.0,Noah Rhodes,portal,Ten sing wind treat seat strategy total.
TKT-00116,CUST-339,Performance,Medium,2024-02-02T19:01:53Z,2024-02-03T19:01:53Z,24.0,7.0,Abigail Shaffer,phone,Parent good PM per question.
TKT-00117,CUST-053,Integration,Low,2024-02-03T16:16:57Z,2024-02-05T08:16:57Z,40.0,5.0,Dylan Miller,phone,Support request: Pick tough position final.
TKT-00118,CUST-387,Integration,Medium,2024-02-17T21:18:32Z,2024-02-20T10:18:32Z,61.0,7.0,Monica Herrera,email,Support request: Almost half capital travel force indeed.. Email davidryan@example.com for details.
TKT-00119,CUST-235,Onboarding,High,2024-02-01T21:01:33Z,2024-02-03T20:01:33Z,47.0,1.0,Gabrielle Davis,chat,Add Mr lawyer pull public once.
TKT-00120,CUST-157,Performance,Medium,2024-02-27T23:25:39Z,2024-03-01T06:25:39Z,55.0,,Monica Herrera,chat,Support request: Board doctor agent this no trip.. Email deborahreid@example.com for details.
TKT-00121,CUST-334,Onboarding,Medium,2024-02-22T09:08:15Z,,,,Jamie Arnold,portal,He we recent music onto risk those.
TKT-00122,CUST-165,Onboarding,High,2024-02-25T16:17:35Z,2024-02-26T01:17:35Z,9.0,1.0,Daniel Wagner,portal,Street past voice evidence.
TKT-00123,CUST-423,Technical,Low,2024-02-02T20:57:01Z,,,,Jamie Arnold,portal,Describe know door guy wonder happen.
TKT-00124,CUST-053,Security,Medium,2024-02-04T21:39:17Z,2024-02-04T22:39:17Z,1.0,5.0,Gabrielle Davis,email,Art every why we station begin.
TKT-00125,CUST-438,Security,Low,2024-02-13T14:32:42Z,2024-02-15T03:32:42Z,37.0,,Monica Herrera,portal,Politics others again skill during.
TKT-00126,CUST-242,Billing,Medium,2024-02-05T00:50:58Z,,,,Lisa Hensley,phone,Skin day stop never.
TKT-00127,CUST-220,Feature Request,Medium,2024-02-02T18:24:04Z,2024-02-03T05:24:04Z,11.0,9.0,Ryan Munoz,phone,Democratic thank forget challenge too able teach certain.
TKT-00128,CUST-060,Feature Request,Critical,2024-02-08T10:46:59Z,,,,Cristian Santos,phone,Music sometimes body term.
TKT-00129,CUST-392,Account,High,2024-02-23T17:17:43Z,2024-02-25T22:17:43Z,53.0,5.0,Dylan Miller,email,Address so draw food.
TKT-00130,CUST-329,Technical,Critical,2024-02-11T19:04:21Z,2024-02-13T16:04:21Z,45.0,8.0,Michele Williams,email,Enter camera inside box.
TKT-00131,CUST-485,Security,Critical,2024-02-28T11:58:25Z,2024-03-02T10:58:25Z,71.0,6.0,Angie Henderson,portal,Live sing message board.
TKT-00132,CUST-446,Performance,Medium,2024-02-12T18:08:34Z,2024-02-13T17:08:34Z,23.0,6.0,Dylan Miller,phone,Develop past road training probably feeling poor.
TKT-00133,CUST-267,Billing,Low,2024-02-16T04:13:32Z,2024-02-18T21:13:32Z,65.0,5.0,Monica Herrera,chat,Article look husband.
TKT-00134,CUST-187,Onboarding,High,2024-02-21T22:07:29Z,2024-02-22T10:07:29Z,12.0,10.0,Angie Henderson,chat,Make travel available ball.
TKT-00135,CUST-016,Feature Request,Medium,2024-02-05T09:01:50Z,2024-02-06T07:01:50Z,22.0,6.0,Gina Moore,chat,Chance call person one Republican herself our far.
TKT-00136,CUST-260,Security,Low,2024-02-28T06:13:22Z,2024-03-01T09:13:22Z,51.0,,Gabrielle Davis,chat,Painting between reduce table prepare shoulder result.
TKT-00137,CUST-408,Feature Request,Low,2024-02-06T07:08:02Z,2024-02-08T06:08:02Z,47.0,8.0,Lisa Hensley,portal,Involve thousand including still human.
TKT-00138,CUST-379,Performance,Medium,2024-02-22T01:17:50Z,2024-02-24T09:17:50Z,56.0,4.0,Monica Herrera,phone,Issue description: Fine fine effort well.. Call (215)628-0988x51656 if urgent.
TKT-00139,CUST-145,Billing,High,2024-02-17T17:39:22Z,2024-02-19T17:39:22Z,48.0,4.0,Abigail Shaffer,phone,Fine billion medical choice lot suggest glass news.
TKT-00140,CUST-361,Onboarding,Medium,2024-02-06T23:23:29Z,2024-02-09T02:23:29Z,51.0,,Lisa Hensley,phone,Several off southern suddenly.
TKT-00141,CUST-060,Billing,High,2024-02-24T19:48:54Z,2024-02-26T04:48:54Z,33.0,5.0,Noah Rhodes,email,Party poor ago upon stop environment Congress reflect.
TKT-00142,CUST-182,Technical,Low,2024-02-21T02:36:48Z,2024-02-21T10:36:48Z,8.0,2.0,Connie Lawrence,phone,Tv go consider century price.
TKT-00143,CUST-059,Security,Low,2024-02-14T10:50:50Z,2024-02-16T00:50:50Z,38.0,,Lisa Hensley,portal,Center plan air second.
TKT-00144,CUST-472,Security,Medium,2024-02-22T22:21:32Z,,,,Ryan Munoz,phone,Support request: Heavy law church find food.
TKT-00145,CUST-073,Technical,High,2024-02-08T08:00:31Z,2024-02-08T22:00:31Z,14.0,,Gabrielle Davis,email,Other third choose senior anyone bank kitchen.
TKT-00146,CUST-245,Onboarding,Low,2024-02-02T19:06:06Z,2024-02-03T03:06:06Z,8.0,1.0,Noah Rhodes,phone,Support request: Magazine kind event sense box involve.
TKT-00147,CUST-258,Technical,Critical,2024-02-08T20:08:23Z,2024-02-10T02:08:23Z,30.0,3.0,Cristian Santos,email,Question or money final determine.
TKT-00148,CUST-009,Performance,Low,2024-02-15T12:50:12Z,2024-02-18T10:50:12Z,70.0,9.0,Cristian Santos,phone,Area daughter war should share face build market.
TKT-00149,CUST-367,Integration,Medium,2024-02-17T02:03:32Z,,,,Jamie Arnold,chat,Compare herself region matter street south.
TKT-00150,CUST-072,Feature Request,Medium,2024-02-16T08:27:24Z,2024-02-18T06:27:24Z,46.0,6.0,Daniel Wagner,phone,Support request: However score job least.
TKT-00151,CUST-477,Performance,Low,2024-02-08T09:24:27Z,2024-02-10T13:24:27Z,52.0,7.0,Daniel Wagner,portal,Television office of remember.
TKT-00152,CUST-446,Onboarding,Medium,2024-02-14T05:21:19Z,2024-02-16T11:21:19Z,54.0,,Dylan Miller,phone,Support request: Face if whom commercial way least.
TKT-00153,CUST-011,Feature Request,High,2024-02-15T04:46:58Z,2024-02-16T20:46:58Z,40.0,2.0,Monica Herrera,email,Because such during open model how.
TKT-00154,CUST-067,Billing,Low,2024-02-13T12:50:12Z,2024-02-15T09:50:12Z,45.0,4.0,Monica Herrera,chat,Second develop single baby plan.
TKT-00155,CUST-386,Integration,Medium,2024-02-14T04:32:30Z,2024-02-16T21:32:30Z,65.0,2.0,Jamie Arnold,chat,Member town glass road standard spring door.
TKT-00156,CUST-169,Security,Medium,2024-02-18T18:51:28Z,2024-02-19T15:51:28Z,21.0,7.0,Dylan Miller,phone,Support request: Eight community check service.
TKT-00157,CUST-430,Feature Request,Low,2024-02-22T18:04:15Z,,,,Connie Lawrence,portal,Concern significant management senior.
TKT-00158,CUST-104,Account,Medium,2024-02-06T07:53:06Z,2024-02-08T19:53:06Z,60.0,4.0,Ryan Munoz,chat,Large under north play person ten physical character.
TKT-00159,CUST-240,Integration,Medium,2024-02-22T07:33:22Z,,,,Angie Henderson,email,Light place someone option.
TKT-00160,CUST-401,Account,Medium,2024-02-16T02:55:13Z,2024-02-17T11:55:13Z,33.0,4.0,Dylan Miller,email,Medical financial later arm story baby.
TKT-00161,CUST-394,Feature Request,Medium,2024-02-06T15:28:57Z,,,,Cristian Santos,phone,Past medical leg never.
TKT-00162,CUST-001,Integration,Medium,2024-02-26T06:58:51Z,2024-02-26T15:58:51Z,9.0,7.0,Abigail Shaffer,portal,Last special prepare.
TKT-00163,CUST-363,Billing,High,2024-02-28T03:22:25Z,2024-02-28T10:22:25Z,7.0,4.0,Allison Hill,email,Painting may whatever late specific study.
TKT-00164,CUST-147,Integration,Low,2024-02-01T02:27:54Z,2024-02-01T05:27:54Z,3.0,8.0,Lisa Hensley,phone,Mean common easy just.
TKT-00165,CUST-314,Security,High,2024-02-06T14:49:50Z,2024-02-08T00:49:50Z,34.0,3.0,Monica Herrera,phone,Support request: Model particular hair truth hold simple.. Email mccormickdeborah@example.org for details.
TKT-00166,CUST-299,Security,Medium,2024-02-06T23:38:47Z,2024-02-08T16:38:47Z,41.0,8.0,Gina Moore,chat,Remember be next poor foreign campaign reflect water.
TKT-00167,CUST-367,Technical,Low,2024-02-01T03:59:38Z,2024-02-02T17:59:38Z,38.0,2.0,Angie Henderson,chat,Behavior provide meet adult final week game.
TKT-00168,CUST-045,Onboarding,Critical,2024-02-15T22:32:48Z,,,,Noah Rhodes,email,Court yourself choice fast small medical music.
TKT-00169,CUST-095,Integration,Medium,2024-02-08T00:47:24Z,2024-02-08T06:47:24Z,6.0,2.0,Michele Williams,chat,Also from short capital heavy class story.
TKT-00170,CUST-339,Performance,Critical,2024-02-04T18:33:01Z,2024-02-05T12:33:01Z,18.0,4.0,Connie Lawrence,email,Speak close join improve put down know expect.
TKT-00171,CUST-443,Account,Medium,2024-02-20T03:43:25Z,,,,Allison Hill,phone,Support request: Doctor dream whole six tough create question.
